review_title,review_text,rating,review_date,reviewer_name,product_id,product_name,WSID,Store name
Wonder soap,Love it. Thank you,5,2024-10-10T00:47:43.000Z,Les,10222,Cholesterol Soap,1eqwkmhcf9qec,lifegivingstore
Great Ball reliever!,My balls feel better!,5,2024-10-03T15:38:26.000Z,Frank Lee,10230,grass fed beef bull testicle supplement,1eqwkmhcf9qec,lifegivingstore
Got moldy very quickly,"It got moldy very quickly. .. It's aesthetic and a nice price, but if it needs to be replaced after a couple months, I don't know if it's worth it. Very quick shipping and very good customer service though. ",3,2024-10-02T14:55:56.000Z,Les,10340,Natural Wood Soap Holder,1eqwkmhcf9qec,lifegivingstore
I had a gut feeling,"And it’s gone. No, really, you’ll be amazed by how good this product is. My body thanks you!",5,2024-09-25T00:10:31.000Z,Zoila Hadley,25216,grass fed lactoferrin,1eqwkmhcf9qec,lifegivingstore
Thank You!,"YAHUAH has led me to this beef thyroid supplement, am so thankful. This is making a huge contribution to my wellbeing ",5,2024-09-22T23:51:28.000Z,Ernest Caskey,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
I used this magnesium chloride in an electrolyte mix.,"I used the magnesium chloride in an electrolyte mix, When the time comes, I'll order more fromLifeGivingStore. LifeGivingStore,MgCl2 & a whole lot more",5,2024-09-18T09:43:37.000Z,SHANNON TRIPLETT,36109,Magnesium Chloride Powder USP Grade,1eqwkmhcf9qec,lifegivingstore
Great!,Excellent quality and a real clean feel.,5,2024-09-15T00:04:33.000Z,Nathan Depree,10340,Natural Wood Soap Holder,1eqwkmhcf9qec,lifegivingstore
Kinda too bulky,"Find it rather to bulky to wear. The strap makes my wrist sweaty. It's not very attractive and so I pulled the strap off and put it in my pocket. At night I put it near my pillow when I sleep. I haven't really noticed any difference in how I feel having it on me. Guess I have to rely on the science saying it works. Would be nice if it was a pendent on a long chain so you could wear it around your neck and hide it under your shirt. As sometimes it's doesn't go well with what your wearing,  especially for women wearing a dress. Looks rather ugly. Thats when I took mine off its strap and put it in my pocket. Guessing it works, but still don't feel any differently wearing it or not. But will continue keeping it on me.",3,2024-09-14T14:36:28.000Z,Patricia Turner,43454,EMF Band XL,1eqwkmhcf9qec,lifegivingstore
Wonderful,So wonderful for my body. The best lactoferrin you can buy.,5,2024-09-05T16:15:09.000Z,Karen Moore,25216,grass fed lactoferrin,1eqwkmhcf9qec,lifegivingstore
Good,I like it it’s just too pricey for the amount of,4,2024-09-02T01:24:04.000Z,Carolyn Lertora,10262,vitamin b1 powder thiamine hcl usp grade,1eqwkmhcf9qec,lifegivingstore
Incredible Product!,I started taking this about 2 months ago and it has been a game changer! My health keeps improving every day and I am forever grateful! Thank you and I will keep purchasing,5,2024-08-28T01:36:16.000Z,Beth Anne Opperman,18421,Nano Soma,1eqwkmhcf9qec,lifegivingstore
Great to Wear at Night,"I wear this band, particularly when I go to bed because my router stays in the room right next to my bedroom. I find I don’t toss and turn when I’m wearing it.",5,2024-08-27T15:12:11.000Z,Alveta Anderson,43454,EMF Band XL,1eqwkmhcf9qec,lifegivingstore
Easy to Take,Have bought this a few times. Hard to tell without regular bloodwork but this seems to help me as a replacement for the drug commonly prescribed for hypothyroidism/Hashimotos. Easy to take with the scoop they provide.,4,2024-08-23T00:15:10.000Z,Anna Pfeiffer,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
Excellent products !,"The near-infrared rays of the red light have helped me on a daily basis.
I have utilized it to deal with discomfort after a brain hemorrhage and after muscle fatigue.
I feel that the effects are beyond my expectations.",5,2024-08-22T07:18:00.000Z,Keiichi Oizumi,10105,LGS8: Infrared 760nm - 830nm,1eqwkmhcf9qec,lifegivingstore
The Cascara is good,So far so good! A Dr. Ray Peat recommendation,5,2024-08-21T01:01:55.000Z,Jeffrey Gotts,10123,Cascara Sagrada,1eqwkmhcf9qec,lifegivingstore
Excellent,"I just completed one full bottle of your pure Hydrolyzed Type 1 Collagen, and I can already feel the difference. I've been using other brand named collagen products, but they seemed a bit watered down to me. With your product, I am getting results already. I noticed my hair and nails are growing faster and my complexion seems to be improving. Thank you, Life giving store for an excellent, pure, high quality product!
Kasey",5,2024-08-18T18:23:32.000Z,Glenn Casey,38521,collagen hydrolysate capsules beef grass fed,1eqwkmhcf9qec,lifegivingstore
,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,5,2024-08-18T07:06:36.000Z,Andreas David Christou,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
Over all,This is a very nice company to work with. They have very good products and a very quick exceptional customer service. You can go wrong when dealing with LifeGivingStore. com,5,2024-08-07T22:14:14.000Z,Deborah Hunt,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
better sleep and increased sperm count,This has been part of a regimen I've been doing to increase sperm count and seems to have helped. I also have been getting better sleep.,5,2024-08-01T03:06:14.000Z,Hunter Miller,10230,grass fed beef bull testicle supplement,1eqwkmhcf9qec,lifegivingstore
,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,5,2024-07-29T16:03:10.000Z,Matthew Schellaci,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
Different product than I thought than I'd intended to order,I meant to order the powdered collagen you used to sell in the Brown bag (you offered back then  2 different types of it). However when my order arrived I did receive two plastic tubs of a collagen powder which is good but I also received FOUR jars of collagen capsules and that is where the mistake is. I didn't intend to order four jars of capsules because I'm putting the powder in my morning coffee already. There must be a bug somewhere because I had to place my order thrice before it finally went through. I waited for your normally very prompt shipment but no cigar so placed it again. Still no arrival. I contacted your business and was told that you hadn't received my order so I placed it again and this time it went through BUT with 4 jars of collagen capsules which I have no use for and don't know how they got on my order. Thanks for asking. I enjoy and use your products daily. Marky,5,2024-07-26T05:32:49.000Z,Marky Lynn Quayle,38521,collagen hydrolysate capsules beef grass fed,1eqwkmhcf9qec,lifegivingstore
Lactoferrin,"My naturopath recommended this supplement for my liver health, and I commenced usage on July 17th. Thus far, the results have been promising, with a noticeable reduction in bloating. Additionally, the customer service has been exceptional. I highly encourage you to purchase this product or contact their team if you have any inquiries.",5,2024-07-24T12:09:29.000Z,Stephanie Brightwell,25216,grass fed lactoferrin,1eqwkmhcf9qec,lifegivingstore
,Seems to be helping me. I appreciate the excellent quality of every product I’ve tried from The Life Giving Store.,5,2024-07-18T14:41:39.000Z,Rosemary Kaveh,25225,vitamin b1 capsules 500mg thiamine hcl usp grade,1eqwkmhcf9qec,lifegivingstore
Fantastic,Has replaced my Rx,5,2024-07-11T05:26:49.000Z,Renee Tordjeman,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
Excellent quality,Superb!  Great soaps no chemicals solid cleaning and after every usage better skin!,5,2024-07-08T00:56:41.000Z,Otto,10346,Homemade Soap Blend 1,1eqwkmhcf9qec,lifegivingstore
,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,5,2024-07-07T04:41:14.000Z,Christopher Teff,10210,grass fed beef thyroid natural desiccated thyroid ndt,1eqwkmhcf9qec,lifegivingstore
Good stuff.,Was unsure before purchasing but this stuff really does work. More energy and higher executive function. I feel better than I have in years. ,5,2024-07-04T00:41:00.000Z,Jordan Kim,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
Seems like pure product!,"I love that this dessicated thyroid has no additives or fillers. 
It seems to be consistent and effective.",5,2024-07-03T18:43:02.000Z,Laura Hunter,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
Thyroid just right,Love that I can work with the dose to make it just so for my body. Feels great to have more balanced energy. :),5,2024-06-19T14:34:09.000Z,Emily Butts,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
,Grass Fed Beef Bull Testicle Supplement - Orchidic,5,2024-06-19T00:32:34.000Z,David Cullen,10230,grass fed beef bull testicle supplement,1eqwkmhcf9qec,lifegivingstore
,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,5,2024-06-18T04:18:59.000Z,Heather Richmond,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
Awesome!,Great way to get in testicle,5,2024-06-09T17:16:58.000Z,Anthony Pedretti,10230,grass fed beef bull testicle supplement,1eqwkmhcf9qec,lifegivingstore
,Great Price and Service,5,2024-06-07T04:54:33.000Z,Dmitri Davis,18421,nano soma,1eqwkmhcf9qec,lifegivingstore
Sexual health,This product is helping with my low libido and helping my testicles to function normaly.,5,2024-06-03T01:02:43.000Z,Ramon Rodriguez,10230,Grass Fed Beef Bull Testicle Supplement - Orchidic,1eqwkmhcf9qec,lifegivingstore
Trouble with Shipping,"I tried to order fast shipping because I had forgotten my thyroid at home while traveling, but somehow I got the slower shipping option. I received my thyroid eventually.",4,2024-06-02T00:27:52.000Z,Jackson Frankfurt,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
Great supplement!,Very efficient supplement for building muscle.,5,2024-05-16T03:00:41.000Z,Christopher Morgridge,10230,Grass Fed Beef Bull Testicle Supplement - Orchidic,1eqwkmhcf9qec,lifegivingstore
Great product,I feel like my bladder emptied easier and taking this prostate supplement increased my libido 10 fold. Great product. I will continue to use.,5,2024-05-15T13:56:03.000Z,Keith Mason,10234,grass fed beef prostate glandular,1eqwkmhcf9qec,lifegivingstore
Great product,"Taking the products are easy.
I feel a little more energy after using them for several weeks.",5,2024-05-14T14:36:43.000Z,Ron Daem,10230,grass fed beef bull testicle supplement,1eqwkmhcf9qec,lifegivingstore
Feel good so far,I haven’t noticed a stupendous difference but I know with this type of stuff it will take awhile. I haven’t noticed any negative side effects as I have increased my dosage over the last 4 weeks. I am hoping over the next few months the lines in my nails will start to go away. But my metabolism is working good while I wait so no complaints at all.,5,2024-04-29T15:45:32.000Z,Jamie Simpson,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
Great quality!,"After trying a sub-standard Cascara product, we found this one and found it to be far superior in its effects.  It's a beautiful dark color as it should be.",5,2024-04-27T19:26:25.000Z,Lara Hatam,10123,Cascara Sagrada,1eqwkmhcf9qec,lifegivingstore
Not very strong,"I was using Thyrovanz and thought I would try this brand due to the great reviews. I’ve gained nearly 10 lbs in a month, and I’m back to hitting my snooze for an hour every morning. I was on 150mg off Thyrovanz, and have been using the same from LGS. I also notice many little round plastic or cartilage-like bits in this powder… I end up spitting out 5+ with every 150mg dose… so, I’m certain that the weight/mg amount of the product is not what they say it is… because 1/5th of the mg amount is from plastic or cartilage (neither of which should be in dessicated thyroid). I will be testing my thyroid this week & I don’t think I’ll be reordering!",3,2024-04-25T18:12:05.000Z,Carrie Russell,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
,Helps my sleep. I sleep deeper and for a longer period at night. Wonderful product.,5,2024-04-17T01:22:40.000Z,Jim A Dunbar,10268,Glycine Powder USP Grade,1eqwkmhcf9qec,lifegivingstore
Satisfied customer,I’ve been ordering since 2020. Quick and easy order process. I’ll continue to buy from LifeGivingStore.,5,2024-04-11T19:30:03.000Z,Margaret Harrison,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
Excellent product,"This is the only vit C powder that I fully trust.
Highly recommend it!",5,2024-04-10T00:06:53.000Z,Lucienne J Fortanier,10142,Vitamin C Powder- Quali-C by DSM,1eqwkmhcf9qec,lifegivingstore
Best Thyroid Supplement,Have seen great improvements in my health since starting taking this product.  3 months in and will continue to take this.  100% Would Recommend to anyone needing some thyroid support!,5,2024-04-09T16:11:56.000Z,Michael Floyd,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
Moves The Detox Along,"I avoided using charcoal because it tended to bind me up.  I wanted to try Cascara to see if that would help, and it did.  Will be buying and recommending to family and friends.",5,2024-04-02T15:26:25.000Z,Andrea Dunyon,10123,cascara sagrada,1eqwkmhcf9qec,lifegivingstore
Great product,Been using for a month now daily and have definitely seen an improvement in digestion.,5,2024-03-31T14:05:28.000Z,Michael Floyd,16524,grass fed gallbladder ox bile,1eqwkmhcf9qec,lifegivingstore
,Helps me feel stronger,5,2024-03-29T00:32:53.000Z,Daniel Milkin,10230,grass fed beef bull testicle supplement,1eqwkmhcf9qec,lifegivingstore
So far so good,"I think it takes longer than 30 days to experience substantial benefits from a new supplement, but it really only takes a few days to experience negative side effects, especially for one that has potential to affect the microbiome.  I love this lactoferrin so far.  I love I can trust the LifeGivingStore with quality.  I intent to continue to purchase.  Fast reliable service with obvious integrity.",5,2024-03-28T15:30:36.000Z,Andrea Dunyon,25216,grass fed lactoferrin,1eqwkmhcf9qec,lifegivingstore
The Best,"I just want to say, that your Vitamin C is the absolute best money can buy. It is not sourced from China, but from the UK, specifically, Scotland. I noticed the difference right off the bat. Your store is one of the very few highest quality, Pharmaceutical grade products money can buy. The prices are reasonable, and your products superior. 
Kasey, C. T. USA",5,2024-03-26T21:10:11.000Z,Glenn Casey,38400,Vitamin C Capsules - Quali-C by DSM,1eqwkmhcf9qec,lifegivingstore
Great for Hypothyroidism!,It really helps me to have energy and get weight off!,5,2024-03-26T20:56:26.000Z,Jazzmin Bechtel,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
B lactoferrin,Great stuff. Gut health improved. Seems to help a lot with mood. I don’t catch bugs with the same frequency nor severity as those in the household not partaking. Take it with room temp water to minimize clumping and sticking.,5,2024-03-18T01:18:26.000Z,Adam Cosey,25216,Grass-Fed Lactoferrin,1eqwkmhcf9qec,lifegivingstore
,actually I do not know what it is for. I did buy it but have not really used it much,5,2024-03-12T03:03:50.000Z,Marky Lynn Quayle,10144,Taurine USP Grade - Ajinomoto,1eqwkmhcf9qec,lifegivingstore
Great eating!,Delicious ! Whole family enjoys eating them and immune systems working better from Grandma to toddler . Thanks for such a high quality product.,5,2024-03-08T00:52:16.000Z,kathleen lavis,10256,Grass Fed Lamb Thymus,1eqwkmhcf9qec,lifegivingstore
Great!!!,"Been using the B1 and feeling great, I think I needed a little boost , thank you again!",5,2024-03-02T23:49:39.000Z,RENE FARACI,10262,vitamin b1 powder thiamine hcl usp grade,1eqwkmhcf9qec,lifegivingstore
I could not tolerate it.,Sorry but I could not tolerate it.  I needed OX Bile only.,5,2024-02-28T16:16:37.000Z,Tammy Morrow,16524,Grass Fed Gallbladder &amp; Ox Bile,1eqwkmhcf9qec,lifegivingstore
The attention is the best!,"The first time I ordered the product, it didn't arrive. However, after reaching out to support, they solved the problem for me! The responses were immediate, and the attention was very good!! :)",5,2024-02-27T16:07:29.000Z,Juan Andres Quiroga Fuquen,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
Thanks for the refund. ,This item did not work for me at all and LifeGiving Store provided a refund. I am grateful. ,5,2024-02-27T03:05:19.000Z,Brandy Porche,36142,Sunfiber,1eqwkmhcf9qec,lifegivingstore
Best vit c!,This ultrafine European made vitamin c will dissolve completely in water.,5,2024-02-27T01:38:40.000Z,Al m,10142,Vitamin C Powder- Quali-C by DSM,1eqwkmhcf9qec,lifegivingstore
Really Helps My Memory,This is a blessing. It really helps my memory.,5,2024-02-26T03:13:29.000Z,Brandy Porche,10250,Grass Fed Beef Brain,1eqwkmhcf9qec,lifegivingstore
,I haven't had blood work done yet to see if this satisfies my T4 needs but it has not hurt. I'll keep using it and verify.,5,2024-02-25T01:20:59.000Z,Latonya Gilliard,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
Enjoying so far,"Shipped to Canada no problem. 
Makes sense to supplement this into our diet. Have a feeling that traditionally we would have consumed the thyroid periodically, so this may be the reason for the thyroid deficiency epidemic (~12% at least).",5,2024-02-23T00:34:00.000Z,Matt Granger,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
Good product,"It does what thyroid hormone is supposed to do and these guys give you a little scoop to make sure you get it at the doses that ensure it works best at. Can't complain, will definitely be buying again",5,2024-02-15T18:24:11.000Z,Karen Jill,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
Quality,I feel less stressed and slightly more at ease when around a lot of technology. I used to get pressure around my forehead when exposed to too many devices but ever since wearing the band I don't feel it anymore. Highly recommend for sensitive individuals who spend lots of time around technological devices.,5,2024-02-12T19:10:20.000Z,A.K.,43490,XL Band Face Replacement,1eqwkmhcf9qec,lifegivingstore
,I liked it very much ~ that's why I just re-ordered it :),5,2024-02-11T01:15:08.000Z,Marky Lynn Quayle,10213,collagen hydrolysate beef grass fed,1eqwkmhcf9qec,lifegivingstore
